Coral_species Opecarcinus_hypostegus Troglocarcinus_corallicola Domecia_acanthophora Acanthemblemaria_spinosa Spirobranchus_polycerus Megabalanus
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_agaricites NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 11 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 6 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 4 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 6 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 6 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 1 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki 3 NA NA NA NA NA
Agaricia_lamarcki 5 NA NA NA NA NA
Agaricia_lamarcki NA NA NA NA NA NA
Agaricia_lamarcki 2 NA NA NA NA NA
